B59295M|    102.00|    102.00|    102.00|    102.00|    167.00|    167.00|    167.00|    167.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    153.00|    153.00|    153.00|    153.00|    153.00|    153.00|    153.00|    153.00|    153.00|     89.00|     89.00|     89.00|     89.00|     64.00|     64.00|     64.00|     64.00|     76.00|     76.00|     76.00|     76.00|     76.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    140.00|    166.00|    166.00|    166.00|    166.00|    166.00|    166.00|
B63113M|    170.00|    170.00|    170.00|    170.00|    278.00|    278.00|    278.00|    278.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    255.00|    255.00|    255.00|    255.00|    255.00|    255.00|    255.00|    255.00|    255.00|    148.00|    148.00|    148.00|    148.00|    106.00|    106.00|    106.00|    106.00|    127.00|    127.00|    127.00|    127.00|    127.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    233.00|    276.00|    276.00|    276.00|    276.00|    276.00|    276.00|
B70279M|     37.00|     37.00|     37.00|     37.00|     62.00|     62.00|     62.00|     62.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     56.00|     56.00|     56.00|     56.00|     56.00|     56.00|     56.00|     56.00|     56.00|     33.00|     33.00|     33.00|     33.00|     23.00|     23.00|     23.00|     23.00|     28.00|     28.00|     28.00|     28.00|     28.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     61.00|     61.00|     61.00|     61.00|     61.00|     61.00|
B70311M|     87.00|     87.00|     87.00|     87.00|    143.00|    143.00|    143.00|    143.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|     76.00|     76.00|     76.00|     76.00|     54.00|     54.00|     54.00|     54.00|     65.00|     65.00|     65.00|     65.00|     65.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    141.00|    141.00|    141.00|    141.00|    141.00|    141.00|
B85047M|     86.00|     86.00|     86.00|     86.00|    142.00|    142.00|    142.00|    142.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|     75.00|     75.00|     75.00|     75.00|     54.00|     54.00|     54.00|     54.00|     65.00|     65.00|     65.00|     65.00|     65.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    119.00|    141.00|    141.00|    141.00|    141.00|    141.00|    141.00|
B2A247M|     59.00|     59.00|     59.00|     59.00|     97.00|     97.00|     97.00|     97.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     89.00|     89.00|     89.00|     89.00|     89.00|     89.00|     89.00|     89.00|     89.00|     52.00|     52.00|     52.00|     52.00|     37.00|     37.00|     37.00|     37.00|     44.00|     44.00|     44.00|     44.00|     44.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     82.00|     97.00|     97.00|     97.00|     97.00|     97.00|     97.00|
B04070A|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B44184A|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B57672A|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B2A004A|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B85047P|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B70279P|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B59295P|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B09160P|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B70311P|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B2A247P|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
B39478P|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|    100.00|
C01150|    212.00|    212.00|    212.00|    212.00|    348.00|    348.00|    348.00|    348.00|    292.00|    292.00|    292.00|    292.00|    292.00|    292.00|    292.00|    292.00|    292.00|    318.00|    318.00|    318.00|    318.00|    318.00|    318.00|    318.00|    318.00|    318.00|    185.00|    185.00|    185.00|    185.00|    132.00|    132.00|    132.00|    132.00|    159.00|    159.00|    159.00|    159.00|    159.00|    292.00|    292.00|    292.00|    292.00|    292.00|    292.00|    292.00|    292.00|    345.00|    345.00|    345.00|    345.00|    345.00|    345.00|
C02650|    347.00|    347.00|    347.00|    347.00|    695.00|    695.00|    695.00|    695.00|    637.00|    637.00|    637.00|    637.00|    637.00|    637.00|    637.00|    637.00|    637.00|    695.00|    695.00|    695.00|    695.00|    695.00|    695.00|    695.00|    695.00|    695.00|    347.00|    347.00|    347.00|    347.00|    260.00|    260.00|    260.00|    260.00|    405.00|    405.00|    405.00|    405.00|    405.00|    666.00|    666.00|    666.00|    666.00|    724.00|    724.00|    724.00|    724.00|    840.00|    840.00|    840.00|    840.00|    840.00|    840.00|
C06601|     87.00|     87.00|     87.00|     87.00|    143.00|    143.00|    143.00|    143.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|    131.00|     76.00|     76.00|     76.00|     76.00|     54.00|     54.00|     54.00|     54.00|     65.00|     65.00|     65.00|     65.00|     65.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    142.00|    142.00|    142.00|    142.00|    142.00|    142.00|
C09101|     80.00|     80.00|     80.00|     80.00|    131.00|    131.00|    131.00|    131.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|     70.00|     70.00|     70.00|     70.00|     50.00|     50.00|     50.00|     50.00|     60.00|     60.00|     60.00|     60.00|     60.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|
C11183|    155.00|    155.00|    155.00|    155.00|    253.00|    253.00|    253.00|    253.00|    213.00|    213.00|    213.00|    213.00|    213.00|    213.00|    213.00|    213.00|    213.00|    232.00|    232.00|    232.00|    232.00|    232.00|    232.00|    232.00|    232.00|    232.00|    135.00|    135.00|    135.00|    135.00|     96.00|     96.00|     96.00|     96.00|    116.00|    116.00|    116.00|    116.00|    116.00|    213.00|    213.00|    213.00|    213.00|    213.00|    213.00|    213.00|    213.00|    251.00|    251.00|    251.00|    251.00|    251.00|    251.00|
C12510|     75.00|     75.00|     75.00|     75.00|    151.00|    151.00|    151.00|    151.00|    138.00|    138.00|    138.00|    138.00|    138.00|    138.00|    138.00|    138.00|    138.00|    151.00|    151.00|    151.00|    151.00|    151.00|    151.00|    151.00|    151.00|    151.00|     75.00|     75.00|     75.00|     75.00|     56.00|     56.00|     56.00|     56.00|     88.00|     88.00|     88.00|     88.00|     88.00|    145.00|    145.00|    145.00|    145.00|    157.00|    157.00|    157.00|    157.00|    183.00|    183.00|    183.00|    183.00|    183.00|    183.00|
C13221|     92.00|     92.00|     92.00|     92.00|    150.00|    150.00|    150.00|    150.00|    126.00|    126.00|    126.00|    126.00|    126.00|    126.00|    126.00|    126.00|    126.00|    138.00|    138.00|    138.00|    138.00|    138.00|    138.00|    138.00|    138.00|    138.00|     80.00|     80.00|     80.00|     80.00|     57.00|     57.00|     57.00|     57.00|     69.00|     69.00|     69.00|     69.00|     69.00|    126.00|    126.00|    126.00|    126.00|    126.00|    126.00|    126.00|    126.00|    149.00|    149.00|    149.00|    149.00|    149.00|    149.00|
C13320|    558.00|    558.00|    558.00|    558.00|   1116.00|   1116.00|   1116.00|   1116.00|   1023.00|   1023.00|   1023.00|   1023.00|   1023.00|   1023.00|   1023.00|   1023.00|   1023.00|   1116.00|   1116.00|   1116.00|   1116.00|   1116.00|   1116.00|   1116.00|   1116.00|   1116.00|    558.00|    558.00|    558.00|    558.00|    418.00|    418.00|    418.00|    418.00|    651.00|    651.00|    651.00|    651.00|    651.00|   1070.00|   1070.00|   1070.00|   1070.00|   1163.00|   1163.00|   1163.00|   1163.00|   1349.00|   1349.00|   1349.00|   1349.00|   1349.00|   1349.00|
C13806|    954.00|    954.00|    954.00|    954.00|   1563.00|   1563.00|   1563.00|   1563.00|   1312.00|   1312.00|   1312.00|   1312.00|   1312.00|   1312.00|   1312.00|   1312.00|   1312.00|   1431.00|   1431.00|   1431.00|   1431.00|   1431.00|   1431.00|   1431.00|   1431.00|   1431.00|    835.00|    835.00|    835.00|    835.00|    596.00|    596.00|    596.00|    596.00|    715.00|    715.00|    715.00|    715.00|    715.00|   1312.00|   1312.00|   1312.00|   1312.00|   1312.00|   1312.00|   1312.00|   1312.00|   1551.00|   1551.00|   1551.00|   1551.00|   1551.00|   1551.00|
C14200|    260.00|    260.00|    260.00|    260.00|    426.00|    426.00|    426.00|    426.00|    358.00|    358.00|    358.00|    358.00|    358.00|    358.00|    358.00|    358.00|    358.00|    390.00|    390.00|    390.00|    390.00|    390.00|    390.00|    390.00|    390.00|    390.00|    228.00|    228.00|    228.00|    228.00|    162.00|    162.00|    162.00|    162.00|    195.00|    195.00|    195.00|    195.00|    195.00|    358.00|    358.00|    358.00|    358.00|    358.00|    358.00|    358.00|    358.00|    423.00|    423.00|    423.00|    423.00|    423.00|    423.00|
C14790|     80.00|     80.00|     80.00|     80.00|    131.00|    131.00|    131.00|    131.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|     70.00|     70.00|     70.00|     70.00|     50.00|     50.00|     50.00|     50.00|     60.00|     60.00|     60.00|     60.00|     60.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|
C17670|     83.00|     83.00|     83.00|     83.00|    166.00|    166.00|    166.00|    166.00|    152.00|    152.00|    152.00|    152.00|    152.00|    152.00|    152.00|    152.00|    152.00|    166.00|    166.00|    166.00|    166.00|    166.00|    166.00|    166.00|    166.00|    166.00|     83.00|     83.00|     83.00|     83.00|     62.00|     62.00|     62.00|     62.00|     97.00|     97.00|     97.00|     97.00|     97.00|    159.00|    159.00|    159.00|    159.00|    173.00|    173.00|    173.00|    173.00|    201.00|    201.00|    201.00|    201.00|    201.00|    201.00|
C20010|     67.00|     67.00|     67.00|     67.00|    135.00|    135.00|    135.00|    135.00|    123.00|    123.00|    123.00|    123.00|    123.00|    123.00|    123.00|    123.00|    123.00|    135.00|    135.00|    135.00|    135.00|    135.00|    135.00|    135.00|    135.00|    135.00|     67.00|     67.00|     67.00|     67.00|     50.00|     50.00|     50.00|     50.00|     78.00|     78.00|     78.00|     78.00|     78.00|    129.00|    129.00|    129.00|    129.00|    140.00|    140.00|    140.00|    140.00|    163.00|    163.00|    163.00|    163.00|    163.00|    163.00|
C20050|     67.00|     67.00|     67.00|     67.00|    135.00|    135.00|    135.00|    135.00|    123.00|    123.00|    123.00|    123.00|    123.00|    123.00|    123.00|    123.00|    123.00|    135.00|    135.00|    135.00|    135.00|    135.00|    135.00|    135.00|    135.00|    135.00|     67.00|     67.00|     67.00|     67.00|     50.00|     50.00|     50.00|     50.00|     78.00|     78.00|     78.00|     78.00|     78.00|    129.00|    129.00|    129.00|    129.00|    140.00|    140.00|    140.00|    140.00|    163.00|    163.00|    163.00|    163.00|    163.00|    163.00|
C20210|     80.00|     80.00|     80.00|     80.00|    131.00|    131.00|    131.00|    131.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|     70.00|     70.00|     70.00|     70.00|     50.00|     50.00|     50.00|     50.00|     60.00|     60.00|     60.00|     60.00|     60.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|
C21110|    182.00|    182.00|    182.00|    182.00|    299.00|    299.00|    299.00|    299.00|    251.00|    251.00|    251.00|    251.00|    251.00|    251.00|    251.00|    251.00|    251.00|    273.00|    273.00|    273.00|    273.00|    273.00|    273.00|    273.00|    273.00|    273.00|    159.00|    159.00|    159.00|    159.00|    114.00|    114.00|    114.00|    114.00|    136.00|    136.00|    136.00|    136.00|    136.00|    251.00|    251.00|    251.00|    251.00|    251.00|    251.00|    251.00|    251.00|    296.00|    296.00|    296.00|    296.00|    296.00|    296.00|
C21340|    292.00|    292.00|    292.00|    292.00|    478.00|    478.00|    478.00|    478.00|    401.00|    401.00|    401.00|    401.00|    401.00|    401.00|    401.00|    401.00|    401.00|    438.00|    438.00|    438.00|    438.00|    438.00|    438.00|    438.00|    438.00|    438.00|    255.00|    255.00|    255.00|    255.00|    182.00|    182.00|    182.00|    182.00|    219.00|    219.00|    219.00|    219.00|    219.00|    401.00|    401.00|    401.00|    401.00|    401.00|    401.00|    401.00|    401.00|    474.00|    474.00|    474.00|    474.00|    474.00|    474.00|
C28050|    334.00|    334.00|    334.00|    334.00|    668.00|    668.00|    668.00|    668.00|    612.00|    612.00|    612.00|    612.00|    612.00|    612.00|    612.00|    612.00|    612.00|    668.00|    668.00|    668.00|    668.00|    668.00|    668.00|    668.00|    668.00|    668.00|    334.00|    334.00|    334.00|    334.00|    250.00|    250.00|    250.00|    250.00|    390.00|    390.00|    390.00|    390.00|    390.00|    640.00|    640.00|    640.00|    640.00|    696.00|    696.00|    696.00|    696.00|    807.00|    807.00|    807.00|    807.00|    807.00|    807.00|
C28300|    165.00|    165.00|    165.00|    165.00|    331.00|    331.00|    331.00|    331.00|    303.00|    303.00|    303.00|    303.00|    303.00|    303.00|    303.00|    303.00|    303.00|    331.00|    331.00|    331.00|    331.00|    331.00|    331.00|    331.00|    331.00|    331.00|    165.00|    165.00|    165.00|    165.00|    124.00|    124.00|    124.00|    124.00|    193.00|    193.00|    193.00|    193.00|    193.00|    317.00|    317.00|    317.00|    317.00|    345.00|    345.00|    345.00|    345.00|    400.00|    400.00|    400.00|    400.00|    400.00|    400.00|
C29671|     99.00|     99.00|     99.00|     99.00|    162.00|    162.00|    162.00|    162.00|    136.00|    136.00|    136.00|    136.00|    136.00|    136.00|    136.00|    136.00|    136.00|    148.00|    148.00|    148.00|    148.00|    148.00|    148.00|    148.00|    148.00|    148.00|     86.00|     86.00|     86.00|     86.00|     61.00|     61.00|     61.00|     61.00|     74.00|     74.00|     74.00|     74.00|     74.00|    136.00|    136.00|    136.00|    136.00|    136.00|    136.00|    136.00|    136.00|    160.00|    160.00|    160.00|    160.00|    160.00|    160.00|
C33104|     80.00|     80.00|     80.00|     80.00|    131.00|    131.00|    131.00|    131.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|     70.00|     70.00|     70.00|     70.00|     50.00|     50.00|     50.00|     50.00|     60.00|     60.00|     60.00|     60.00|     60.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|
C34021|     80.00|     80.00|     80.00|     80.00|    131.00|    131.00|    131.00|    131.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|    120.00|     70.00|     70.00|     70.00|     70.00|     50.00|     50.00|     50.00|     50.00|     60.00|     60.00|     60.00|     60.00|     60.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    110.00|    130.00|    130.00|    130.00|    130.00|    130.00|    130.00|
C35425|   1284.00|   1284.00|   1284.00|   1284.00|   2103.00|   2103.00|   2103.00|   2103.00|   1766.00|   1766.00|   1766.00|   1766.00|   1766.00|   1766.00|   1766.00|   1766.00|   1766.00|   1927.00|   1927.00|   1927.00|   1927.00|   1927.00|   1927.00|   1927.00|   1927.00|   1927.00|   1124.00|   1124.00|   1124.00|   1124.00|    802.00|    802.00|    802.00|    802.00|    963.00|    963.00|    963.00|    963.00|    963.00|   1766.00|   1766.00|   1766.00|   1766.00|   1766.00|   1766.00|   1766.00|   1766.00|   2087.00|   2087.00|   2087.00|   2087.00|   2087.00|   2087.00|
